category,name,link
Cabbage,Prairie Turnip,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=615
Cabbage,Rapini,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=519
Cabbage,Swamp Cabbage,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=427
Cabbage,Wasabi,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=361
Cereal,Annual Wild Rice,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=471
Cereal,Barley,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=51
Cereal,Basmati Rice,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=404
Cereal,Breakfast Cereal,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=482
Cereal,Bulgur,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=865
Cereal,Crispbread,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=52
Cereal,Flour,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=920
Cereal,Hard Wheat,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=473
Cereal,Malt,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=53
Cereal,Oats,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=54
Cereal,Oriental Wheat,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=697
Cereal,Quinoa,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=616
Cereal,Red Rice,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=470
Cereal,Rice,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=55
Cereal,Rye,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=320
Cereal,Semolina,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=869
Cereal,Sorghum,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=448
Cereal,Sourdough,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=486
Cereal,Spelt,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=649
Cereal,Tartary Buckwheat,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=424
Cereal,Triticale,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=474
Cereal,Wheat,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=452
Cereal,Wild Rice,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=670
Dairy,Blue Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=63
Dairy,Butter,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=60
Dairy,Buttermilk,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=61
Dairy,Camembert Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=64
Dairy,Cheddar Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=65
Dairy,Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=62
Dairy,Comte Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=66
Dairy,Condensed Milk,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=960
Dairy,Cottage Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=67
Dairy,Cream,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=780
Dairy,Cream Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=68
Dairy,Dairy Products,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=86
Dairy,Domiati Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=69
Dairy,Dulce De Leche,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=839
Dairy,Emmental Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=70
Dairy,Evaporated Milk,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=919
Dairy,Feta Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=71
Dairy,Ghee,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=87
Dairy,Goat Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=72
Dairy,Goat Milk,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=90
Dairy,Gruyere Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=73
Dairy,Junket,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=851
Dairy,Kefir,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=820
Dairy,Limburger Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=74
Dairy,Milk,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=88
Dairy,Milk Fat,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=89
Dairy,Milk Human,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=796
Dairy,Milk Powder,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=91
Dairy,Mozzarella Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=75
Dairy,Munster Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=76
Dairy,Other Cheeses,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=77
Dairy,Other Fermented Milk,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=821
Dairy,Paneer,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=402
Dairy,Parmesan Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=78
Dairy,Provolone Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=79
Dairy,Ricotta Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=405
Dairy,Romano Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=80
Dairy,Roquefort Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=81
Dairy,Russian Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=82
Dairy,Sheep Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=83
Dairy,Sheep Milk,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=92
Dairy,Skimmed Milk,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=93
Dairy,Sweet Custard,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=841
Dairy,Swiss Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=84
Dairy,Tilsit Cheese,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=85
Dairy,Whey,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=788
Dairy,Ymer,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=770
Dairy,Yogurt,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=94
Dish,Adobo,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=882
Dish,Akutaq,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=921
Dish,Arepa,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=949
Dish,Baked Potato,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=873
Dish,Breakfast Sandwich,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=881
Dish,Burrito,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=831
Dish,Cake,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=768
Dish,Chewing Gum,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=774
Dish,Chili,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=833
Dish,Chimichanga,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=868
Dish,Cold Cut,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=893
Dish,Couscous,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=864
Dish,Dragée,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=773
Dish,Dumpling,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=799
Dish,Egg Roll,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=842
